provincia,departamento,rubro,productos,razón social,establecimiento
CHUBUT,gaiman,GANADERIA,BORREGOS,VIÑAS MARIA TERESA,POZO HONDO (ANIMAL)
CHUBUT,gaiman,GANADERIA,BORREGAS,VIÑAS MARIA TERESA,POZO HONDO (ANIMAL)
ENTRE RIOS,chañar,AGRICULTURA,GIRASOL AO,AGROYATAY S.R.L.,LA MARGARITA
ENTRE RIOS,chañar,AGRICULTURA,SORGO BLANCO,AGROYATAY S.R.L.,LA MARGARITA
ENTRE RIOS,chañar,AGRICULTURA,MIJO,AGROYATAY S.R.L.,LA MARGARITA
ENTRE RIOS,chañar,AGRICULTURA,MAIZ PISINGALLO,AGROYATAY S.R.L.,LA MARGARITA
ENTRE RIOS,chañar,AGRICULTURA,LINO DORADO,AGROYATAY S.R.L.,LA MARGARITA
ENTRE RIOS,victoria,APICULTURA,MIEL + EXTRACCION DE MIEL,BOTTEGAL JUAN ANGEL Y BOTTEGAL JULIO CESAR S.H.,ZONA DE ISLAS ENTRE RIOS
ENTRE RIOS,concepcion del uruguay,AGRICULTURA,INCULTO,CAMAÑO JULIO,SAN ANTONIO
ENTRE RIOS,concepcion del uruguay,AGRICULTURA,CAMPO NATURAL,CAMAÑO JULIO,SAN ANTONIO
ENTRE RIOS,concepcion del uruguay,AGRICULTURA,MONTE,CAMAÑO JULIO,SAN ANTONIO
ENTRE RIOS,concepcion del uruguay,AGRICULTURA,STEVIA,CAMAÑO JULIO,SAN ANTONIO
ENTRE RIOS,san justo,FRUTICULTURA/HORTICULTURA,NARANJA,CAMINOS DE JUSTO SA.,CAMINOS DE JUSTO
ENTRE RIOS,san justo,FRUTICULTURA/HORTICULTURA,LIMON,CAMINOS DE JUSTO SA.,CAMINOS DE JUSTO
ENTRE RIOS,san justo,FRUTICULTURA/HORTICULTURA,MANDARINA,CAMINOS DE JUSTO SA.,CAMINOS DE JUSTO
ENTRE RIOS,san justo,FRUTICULTURA/HORTICULTURA,POMELO,CAMINOS DE JUSTO SA.,CAMINOS DE JUSTO
ENTRE RIOS,la paz,AGRICULTURA,MAIZ,CAMPO MALAMBO S.A.,CAMPO MALAMBO
ENTRE RIOS,villaguay,AGRICULTURA,CEREALES,CAUPOLICAN S.R.L.,LA CATALINA
ENTRE RIOS,concordia,FRUTICULTURA,LIMON,ECA  SA,LA 83
ENTRE RIOS,concordia,FRUTICULTURA,NARANJA,ECA  SA,LA 83
ENTRE RIOS,la paz,AGRICULTURA,LINO,ESTANCIA LAGUNA BLANCA S.A.,LAGUNA BLANCA
ENTRE RIOS,concordia,FRUTICULTURA,ARANDANOS,FIDEICOMISO ARANDANOS DEL HEMISFERIO SUR,FIDEICOMISO ARANDANOS DEL HEMISFERIO SUR
ENTRE RIOS,la paz,AGRICULTURA,CAMPO NATURAL,FIGUEROA BUNGE MARIANO,LA EVANGELINA
ENTRE RIOS,la paz,AGRICULTURA,MAIZ PISINGALLO,FIGUEROA BUNGE MARIANO,LA EVANGELINA
ENTRE RIOS,la paz,AGRICULTURA,GIRASOL CONFITERO,FIGUEROA BUNGE MARIANO,LA EVANGELINA
ENTRE RIOS,chajari,AGRICULTURA,ARROZ,FUCHINECO LUIS ALBERTO,ALMA MIA
ENTRE RIOS,parana,AGRICULTURA,NUEZ PECAN,GRACIA LUZ DON,LA ESMERADA
ENTRE RIOS,parana,AGRICULTURA,STEVIA,GRACIA LUZ DON,LA ESMERADA
ENTRE RIOS,parana,AGRICULTURA,FRUTALES,GRACIA LUZ DON,LA ESMERADA
ENTRE RIOS,concordia,AGRICULTURA,ARROZ,GUIDOBONO JOSE MARIA,LA URBANA
ENTRE RIOS,san jaime,AGRICULTURA,ARROZ,GUIDOBONO JOSE MARIA,SAN PEDRO
ENTRE RIOS,basavilbaso,AGRICULTURA,LINO DORADO,GUILLERMO JAUCK Y HERMANOS SOCIEDAD DE HECHO,LA CAROLINA
ENTRE RIOS,basavilbaso,AGRICULTURA,LINO DORADO,GUILLERMO JAUCK Y HERMANOS SOCIEDAD DE HECHO,MONTEVERDI
ENTRE RIOS,basavilbaso,AGRICULTURA,LINO MARRON,GUILLERMO JAUCK Y HERMANOS SOCIEDAD DE HECHO,MEICHTRY
ENTRE RIOS,basavilbaso,AGRICULTURA,LINO MARRON,GUILLERMO JAUCK Y HERMANOS SOCIEDAD DE HECHO,LA BLANCA
ENTRE RIOS,basavilbaso,AGRICULTURA,LINO MARRON,GUILLERMO JAUCK Y HERMANOS SOCIEDAD DE HECHO,LISFCHITZ
ENTRE RIOS,uruguay,HORTICULTURA,CORIANDRO,GUILLERMO JAUCK Y HERMANOS SOCIEDAD DE HECHO,EL TAJAMAR
ENTRE RIOS,concordia,FRUTICULTURA,LIMON,IGFO SA,LA ESPERANZA
ENTRE RIOS,concordia,FRUTICULTURA,NARANJA,IGFO SA,LA ESPERANZA
ENTRE RIOS,yuqueri,FRUTICULTURA,NARANJA,IGFO SA,EL TRIANGULO
ENTRE RIOS,gualeguay,AGRICULTURA,TRIGO,KUMAGRO S.A.,LA UNION
ENTRE RIOS,gualeguay,AGRICULTURA,SOJA,KUMAGRO S.A.,LA UNION
ENTRE RIOS,gualeguay,AGRICULTURA,SOJA,KUMAGRO S.A.,"SANTA MARIA ""B"""
ENTRE RIOS,gualeguay,AGRICULTURA,MAIZ,KUMAGRO S.A.,"SANTA MARIA ""B"""
ENTRE RIOS,concordia,AGRICULTURA,ARROZ,LA LOMA ALIMENTOS S.A.,EL TALITA
ENTRE RIOS,concordia,AGRICULTURA,SORGO,MAGNO S.A.,LAS ACHURAS
ENTRE RIOS,concordia,AGRICULTURA,TRIGO,MAGNO S.A.,LAS ACHURAS
ENTRE RIOS,concordia,AGRICULTURA,ARROZ,MAGNO S.A.,LAS ACHURAS
ENTRE RIOS,uruguay,AGRICULTURA,SORGO,MAGNO S.A.,LOTE PLANTA MANTEROS
ENTRE RIOS,concordia,AGRICULTURA,SORGO,NEOFARMS S.R.L. / GUIDOBONO JOSE MARIA / CALERO GUILLERMO,LA EMILIA (EX LA PRIMAVERA)
ENTRE RIOS,concordia,AGRICULTURA,CAMPO NATURAL,"NEOFARMS SRL/GUIDOBONO JOSE MARIA/CALERO GUILLERMO,",POOL CONSORCIO - UNIDAD A
ENTRE RIOS,concordia,AGRICULTURA,CAMPO NATURAL,"NEOFARMS SRL/GUIDOBONO JOSE MARIA/CALERO GUILLERMO,",POOL CONSORCIO - UNIDAD B
ENTRE RIOS,concordia,AGRICULTURA,CAMPO NATURAL,"NEOFARMS SRL/GUIDOBONO JOSE MARIA/CALERO GUILLERMO,",POOL CONSORCIO - UNIDAD C
ENTRE RIOS,concordia,AGRICULTURA,CAMPO NATURAL,"NEOFARMS SRL/GUIDOBONO JOSE MARIA/CALERO GUILLERMO,",POOL CONSORCIO - UNIDAD D
ENTRE RIOS,concordia,AGRICULTURA,CAMPO NATURAL,"NEOFARMS SRL/GUIDOBONO JOSE MARIA/CALERO GUILLERMO,",POOL CONSORCIO - UNIDAD E
ENTRE RIOS,federacion,AGRICULTURA,LINO,SALDUNA PEDRO JORGE - SALDUNA PEDRO,SANTA DOMINGA
ENTRE RIOS,colon,GANADERIA,VACAS,SOCAS CARLOS MARIA,LA MARMOL - SAN PANCHO
ENTRE RIOS,colon,GANADERIA,VAQUILLONAS,SOCAS CARLOS MARIA,LA MARMOL - SAN PANCHO
ENTRE RIOS,colon,GANADERIA,TERNERAS,SOCAS CARLOS MARIA,LA MARMOL - SAN PANCHO
ENTRE RIOS,colon,GANADERIA,TOROS,SOCAS CARLOS MARIA,LA MARMOL - SAN PANCHO
ENTRE RIOS,colon,GANADERIA,TERNEROS,SOCAS CARLOS MARIA,LA MARMOL - SAN PANCHO
ENTRE RIOS,colon,GANADERIA,NOVILLOS,SOCAS CARLOS MARIA,LA MARMOL - SAN PANCHO
ENTRE RIOS,federacion,FRUTICULTURA/HORTICULTURA,NARANJA,STIVANELLO JUAN CARLOS,JUAN CARLOS STIVANELLO (FINCA)
ENTRE RIOS,federacion,FRUTICULTURA/HORTICULTURA,MANDARINA,STIVANELLO JUAN CARLOS,JUAN CARLOS STIVANELLO (FINCA)
ENTRE RIOS,federacion,FRUTICULTURA/HORTICULTURA,LIMON,STIVANELLO JUAN CARLOS,JUAN CARLOS STIVANELLO (FINCA)
ENTRE RIOS,federacion,FRUTICULTURA/HORTICULTURA,DURAZNO,STIVANELLO JUAN CARLOS,JUAN CARLOS STIVANELLO (FINCA)
ENTRE RIOS,federacion,FRUTICULTURA/HORTICULTURA,CIRUELA,STIVANELLO JUAN CARLOS,JUAN CARLOS STIVANELLO (FINCA)
ENTRE RIOS,federacion,FRUTICULTURA/HORTICULTURA,MAIZ,STIVANELLO JUAN CARLOS,JUAN CARLOS STIVANELLO (FINCA)
ENTRE RIOS,federacion,FRUTICULTURA/HORTICULTURA,TOMATE,STIVANELLO JUAN CARLOS,JUAN CARLOS STIVANELLO (FINCA)
ENTRE RIOS,federacion,FRUTICULTURA/HORTICULTURA,POMELO,STIVANELLO JUAN CARLOS,JUAN CARLOS STIVANELLO (FINCA)
ENTRE RIOS,federal,AGRICULTURA,AGRICULTURA,TIANA S.A.,TIANA S.A.
ENTRE RIOS,1º de mayo,FRUTICULTURA/HORTICULTURA,NUEZ PECAN,WOLFF GUSTAVO ALFREDO,LOS NOGALES
FORMOSA,san francisco laishi,AGRICULTURA,ALOE VERA,CORONEL ALEJANDRO ANIBAL,PURO ALOE
FORMOSA,san francisco laishi,AGRICULTURA,PASTIZAL NATURAL,CORONEL ALEJANDRO ANIBAL,PURO ALOE
FORMOSA,san francisco laishi,AGRICULTURA,INCULTO,CORONEL ALEJANDRO ANIBAL,PURO ALOE
FORMOSA,pilcomayo,AGRICULTURA,BANANO,ISLA PUEN SRL,ISLA PUEN
FORMOSA,pilcomayo,AGRICULTURA,MANGO,ISLA PUEN SRL,ISLA PUEN
FORMOSA,pilcomayo,AGRICULTURA,FRUTAS TROPICALES,ISLA PUEN SRL,ISLA PUEN
FORMOSA,laguna blanca,FRUTICULTURA/HORTICULTURA,POMELO,UTE BV S.A.,EL CANADIENSE
FORMOSA,laguna blanca,FRUTICULTURA/HORTICULTURA,INCULTO,UTE BV S.A.,EL CANADIENSE
JUJUY,san pedro de jujuy,AGRICULTURA,CAÑA DE AZUCAR,ADROVER TRISTAN,FINCA LA ESCONDIDA
JUJUY,san pedro de jujuy,AGRICULTURA,DESCANSO,ADROVER TRISTAN,FINCA LA ESCONDIDA
JUJUY,san pedro de jujuy,AGRICULTURA,CAÑA DE AZUCAR,ALCONOR S.A.,EL INFANTE
JUJUY,chucarezna,AGRICULTURA,CAMPO NATURAL,AYNI S.A.,LA COLORADA
JUJUY,chucarezna,AGRICULTURA,ALFALFA,AYNI S.A.,LA COLORADA
JUJUY,yuto,AGRICULTURA,CHIA (SALVIA HISPANICA L),BLANCO HUGO ROBERTO,EL VASCO
JUJUY,yuto,AGRICULTURA,CAMPO NATURAL,BLANCO HUGO ROBERTO,EL VASCO
JUJUY,san pedro de jujuy,AGRICULTURA,CAÑA DE AZUCAR,CAMPO ALEGRE S.A.,FINCA CAMPO ALEGRE
JUJUY,san pedro de jujuy,AGRICULTURA,MAIZ PISINGALLO,CAMPO ALEGRE S.A.,FINCA CAMPO ALEGRE
JUJUY,san pedro de jujuy,AGRICULTURA,MAIZ,CAMPO ALEGRE S.A.,FINCA CAMPO ALEGRE
JUJUY,san pedro de jujuy,AGRICULTURA,POROTO COLORADO,CAMPO ALEGRE S.A.,FINCA CAMPO ALEGRE
JUJUY,san pedro de jujuy,AGRICULTURA,POROTO NEGRO,CAMPO ALEGRE S.A.,FINCA CAMPO ALEGRE
JUJUY,san pedro,APICULTURA,ALZA MELARIA,COOPERATIVA DE PRODUCTORES APICOLA DE JUJUY LTDA.,COOPERATIVA DE PRODUCTORES DE MIELES DE JUJUY
JUJUY,depto. el carmen,AGRICULTURA,CAÑA DE AZUCAR,EL OMBU SRL,FINCA FIORINI
JUJUY,depto. el carmen,AGRICULTURA,INCULTO,EL OMBU SRL,FINCA FIORINI
JUJUY,santa barbara,AGRICULTURA,CHIA (SALVIA HISPANICA L),EMECINCO S.A.,FINCA LOS PLATANOS
JUJUY,santa barbara,AGRICULTURA,MONTE,EMECINCO S.A.,FINCA LOS PLATANOS
JUJUY,perico,AGRICULTURA,CAÑA DE AZUCAR,FINCA EL PONGO - HPTAL. ARTURO ZABALA,FINCA EL PONGO
JUJUY,el carmen,AGRICULTURA,CAÑA DE AZUCAR,FINCA LAS MERCEDES SRL,FINCA LAS MERCEDES
JUJUY,pampa blanca,AGRICULTURA,TRIGO,GARELY S.A.,LOS PUENTES
JUJUY,el carmen,AGRICULTURA,CAÑA DE AZUCAR,HAROIAN NELSON EDGARDO,FINCA EL OLLERO
JUJUY,el carmen,AGRICULTURA,MONTE,HAROIAN NELSON EDGARDO,FINCA EL OLLERO
JUJUY,el carmen,AGRICULTURA,CAÑA DE AZUCAR,HAROIAN NELSON EDGARDO,FINCA PAMPA BLANCA
JUJUY,el carmen,AGRICULTURA,INCULTO,HAROIAN NELSON EDGARDO,FINCA PAMPA BLANCA
JUJUY,la esperanza,AGRICULTURA,CAÑA DE AZUCAR,INGENIO LA ESPERANZA S.A.,INGENIO LA ESPERANZA
JUJUY,el carmen,AGRICULTURA,CAÑA DE AZUCAR,INKLEMONA DE BALUT ROSA,FINCA LAS PICHANAS
JUJUY,el carmen,AGRICULTURA,INCULTO,INKLEMONA DE BALUT ROSA,FINCA LAS PICHANAS
JUJUY,los manantiales,AGRICULTURA,CAÑA DE AZUCAR,LA PROVIDENCIA SRL,LA PROVIDENCIA
JUJUY,los manantiales,AGRICULTURA,MONTE,LA PROVIDENCIA SRL,LA PROVIDENCIA
JUJUY,los manantiales,AGRICULTURA,CAMPO NATURAL,LA PROVIDENCIA SRL,LA PROVIDENCIA
JUJUY,depto el carmen,AGRICULTURA,CAÑA DE AZUCAR,MORALES GUSTAVO ROBERTO,FINCA MORALES
JUJUY,depto el carmen,AGRICULTURA,FORESTALES,MORALES GUSTAVO ROBERTO,FINCA MORALES
JUJUY,depto el carmen,AGRICULTURA,INCULTO,MORALES GUSTAVO ROBERTO,FINCA MORALES
JUJUY,palma sola,AGRICULTURA,SESAMO,PALMA SOLA FARMS S.R.L,PALMA SOLA
JUJUY,palma sola,AGRICULTURA,POROTO NEGRO,PALMA SOLA FARMS S.R.L,PALMA SOLA
JUJUY,palma sola,AGRICULTURA,MONTE,PALMA SOLA FARMS S.R.L,PALMA SOLA
JUJUY,palma sola,AGRICULTURA,POROTO COLORADO,PALMA SOLA FARMS S.R.L,PALMA SOLA
JUJUY,palma sola,AGRICULTURA,CHIA (SALVIA HISPANICA L),PALMA SOLA FARMS S.R.L,PALMA SOLA
LA PAMPA,miguel cane,AGRICULTURA,GIRASOL,EDCO GRAINS S.A.,SAN JUAN
LA PAMPA,miguel cane,AGRICULTURA,POROTO MUNG,EDCO GRAINS S.A.,SAN JUAN
LA PAMPA,caleu caleu,APICULTURA,COLMENAS,EL MAITEN S.R.L.,EL ALFILERILLO / EL REMOLINO / DON PEDRO / BARUSO / EL MORRO
LA PAMPA,caleu caleu,APICULTURA,NUCLEOS,EL MAITEN S.R.L.,EL ALFILERILLO / EL REMOLINO / DON PEDRO / BARUSO / EL MORRO
LA PAMPA,caleu caleu,APICULTURA,ALZA MELARIA,EL MAITEN S.R.L.,EL ALFILERILLO / EL REMOLINO / DON PEDRO / BARUSO / EL MORRO
LA PAMPA,utracan,APICULTURA,ALZA MELARIA,LOS AMIGOS S.H.,DON SERAFIN - EL CARMEL
LA PAMPA,utracan,APICULTURA,COLMENAS,LOS AMIGOS S.H.,DON SERAFIN - EL CARMEL
LA PAMPA,utracan,APICULTURA,NUCLEOS,LOS AMIGOS S.H.,DON SERAFIN - EL CARMEL
LA RIOJA,chilecito,FRUTICULTURA,VID,"BELLAN, EDGARDO CHARBEL MARIA",LAS TRES MARIAS
LA RIOJA,chilecito,FRUTICULTURA,OLIVOS,"BELLAN, EDGARDO CHARBEL MARIA",LAS TRES MARIAS
LA RIOJA,chilecito,FRUTICULTURA,VID,BELLIA JOSE LUIS,AGROVID
LA RIOJA,chilecito,FRUTICULTURA,OLIVOS,BELLIA JOSE LUIS,AGROVID
LA RIOJA,chilecito,FRUTICULTURA,VID,"CAPECE, LORENZO OSVALDO",LA ALBORADA
LA RIOJA,chilecito,FRUTICULTURA,OLIVOS,"CAPECE, LORENZO OSVALDO",LA ALBORADA
LA RIOJA,arauco,AGRICULTURA,JOJOBA,CLEAN INVESTMENT SA,EL RETAMO
LA RIOJA,arauco,AGRICULTURA,JOJOBA,CLEAN INVESTMENT SA,SAN AMBROSIO Y  DON JESUS
LA RIOJA,general ocampo,FRUTICULTURA/HORTICULTURA,MONTE,CONCESIONARIA DE FINCAS EL RENUEVO S.A.,FINCAS EL RENUEVO
LA RIOJA,general ocampo,FRUTICULTURA/HORTICULTURA,OLIVO,CONCESIONARIA DE FINCAS EL RENUEVO S.A.,FINCAS EL RENUEVO
LA RIOJA,general ocampo,FRUTICULTURA/HORTICULTURA,GRANADO,CONCESIONARIA DE FINCAS EL RENUEVO S.A.,FINCAS EL RENUEVO
LA RIOJA,general ocampo,FRUTICULTURA/HORTICULTURA,ALGARROBO,CONCESIONARIA DE FINCAS EL RENUEVO S.A.,FINCAS EL RENUEVO
LA RIOJA,general ocampo,FRUTICULTURA/HORTICULTURA,LAUREL,CONCESIONARIA DE FINCAS EL RENUEVO S.A.,FINCAS EL RENUEVO
LA RIOJA,chilecito,FRUTICULTURA,VID,COOPERATIVA VITIVINIFRUTICOLA  LA RIOJANA LTDA.,FINCA CIUDADELA
LA RIOJA,chilecito,FRUTICULTURA,VID,COOPERATIVA VITIVINIFRUTICOLA  LA RIOJANA LTDA.,FINCA CIUDADELA II (EXFEDERADA RIOJANA SA)
LA RIOJA,chilecito,FRUTICULTURA,OLIVOS,COOPERATIVA VITIVINIFRUTICOLA  LA RIOJANA LTDA.,FINCA CIUDADELA II (EXFEDERADA RIOJANA SA)
LA RIOJA,chilecito,FRUTICULTURA,VID,COOPERATIVA VITIVINIFRUTICOLA  LA RIOJANA LTDA.,PARCELA 12
LA RIOJA,chilecito,FRUTICULTURA,OLIVOS,COOPERATIVA VITIVINIFRUTICOLA  LA RIOJANA LTDA.,PARCELA 12
LA RIOJA,chilecito,FRUTICULTURA,VID,COVARRUBIAS SA,COVARRUBIAS
LA RIOJA,chilecito,FRUTICULTURA,NOGALES,COVARRUBIAS SA,COVARRUBIAS
LA RIOJA,chilecito,FRUTICULTURA,VID,"DE LA VEGA, EDUARDO DANIEL",MARTA ELENA
LA RIOJA,chilecito,FRUTICULTURA,OLIVOS,"DE LA VEGA, EDUARDO DANIEL",MARTA ELENA
LA RIOJA,la rioja,FRUTICULTURA,OLIVOS,EMPRENDIMIENTOS DEL NORTE SRL,FINCA LA ANDALUZA
LA RIOJA,chilecito,FRUTICULTURA,VID,FINCA CERES SRL,FINCA CERES (EX-AGRICOLA SAN CAYETANO 3)
LA RIOJA,chilecito,FRUTICULTURA,OLIVOS,FINCA CERES SRL,FINCA CERES (EX-AGRICOLA SAN CAYETANO 3)
LA RIOJA,chilecito,FRUTICULTURA,OLIVOS,FINCA CERES SRL,FINCA CERES (EX-AGRICOLA SAN CAYETANO 6)
LA RIOJA,chilecito,AGRICULTURA,PASAS DE UVA,FREZZI SACIAG,FINCA FREZZI II
LA RIOJA,chilecito,FRUTICULTURA,VID,FREZZI SACIAG,FINCA FREZZI
LA RIOJA,chilecito,FRUTICULTURA,OLIVOS,FREZZI SACIAG,FINCA FREZZI
LA RIOJA,aimogasta,AGRICULTURA,JOJOBA,FUERTE DEL BAÑADO S.A.,FUERTE DEL BAÑADO
LA RIOJA,coronel felipe varela,FRUTICULTURA,VID,"GARROT, CARLOS PEDRO",FINCA SANTA GUALBERTA
LA RIOJA,chilecito,FRUTICULTURA,VD,"GONZALEZ RODRIGUEZ, GERMAN",DON BERNABE
LA RIOJA,chilecito,FRUTICULTURA,OLIVOS,"GONZALEZ RODRIGUEZ, GERMAN",DON BERNABE
LA RIOJA,chilecito,FRUTICULTURA,VID,"GONZALEZ, MARIO HERNAN",EX-BERETTA
LA RIOJA,chilecito,FRUTICULTURA,VID,"GONZALEZ, MARIO HERNAN",EX-MORENO
LA RIOJA,chilecito,FRUTICULTURA,OLIVOS,"GONZALEZ, MARIO HERNAN",EX-MORENO
LA RIOJA,chilecito,FRUTICULTURA,VID,"GONZALEZ, MARIO HERNAN",NUEVA
LA RIOJA,chilecito,FRUTICULTURA,OLIVOS,"GONZALEZ, MARIO HERNAN",NUEVA
LA RIOJA,dto. capital,FRUTICULTURA/HORTICULTURA,OLIVO,INDUSTRIAS QUIMICAS Y MINERAS TIMBO S.A.,FINCA TIMBO RIOJANA
LA RIOJA,dto. capital,FRUTICULTURA/HORTICULTURA,PEREJIL,INDUSTRIAS QUIMICAS Y MINERAS TIMBO S.A.,FINCA TIMBO RIOJANA
LA RIOJA,dto. capital,FRUTICULTURA/HORTICULTURA,AJI,INDUSTRIAS QUIMICAS Y MINERAS TIMBO S.A.,FINCA TIMBO RIOJANA
LA RIOJA,dto. capital,FRUTICULTURA/HORTICULTURA,ACEITUNAS,INDUSTRIAS QUIMICAS Y MINERAS TIMBO S.A.,FINCA TIMBO RIOJANA
LA RIOJA,dto. capital,FRUTICULTURA/HORTICULTURA,INCULTO,INDUSTRIAS QUIMICAS Y MINERAS TIMBO S.A.,FINCA TIMBO RIOJANA
LA RIOJA,chilecito,FRUTICULTURA,VID,"IRIARTE, DANIEL",FINCA LAS ROSAS (IRIARTE)
LA RIOJA,chilecito,FRUTICULTURA,VID,"LARGUIA, JONAS",FINCA LA NUESTRA
LA RIOJA,chilecito,FRUTICULTURA,OLIVOS,"LARGUIA, JONAS",FINCA LA NUESTRA
LA RIOJA,chilecito,AGRICULTURA,NOGALES,MAELCA S.A.,LOS RANQUELES
LA RIOJA,chilecito,AGRICULTURA,CASTAÑA,MAELCA S.A.,LOS RANQUELES
LA RIOJA,chilecito,FRUTICULTURA/HORTICULTURA,OLIVOS,MAELCA SA,LOS CERRILLOS
LA RIOJA,chilecito,FRUTICULTURA/HORTICULTURA,VID,MAELCA SA,LOS CERRILLOS
LA RIOJA,chilecito,FRUTICULTURA/HORTICULTURA,MELON,MAELCA SA,LOS CERRILLOS
LA RIOJA,chilecito,FRUTICULTURA/HORTICULTURA,SANDIA,MAELCA SA,LOS CERRILLOS
LA RIOJA,chilecito,FRUTICULTURA/HORTICULTURA,TOMATE,MAELCA SA,LOS CERRILLOS
LA RIOJA,chilecito,FRUTICULTURA/HORTICULTURA,MAIZ,MAELCA SA,LOS CERRILLOS
LA RIOJA,chilecito,FRUTICULTURA/HORTICULTURA,ZAPALLO,MAELCA SA,LOS CERRILLOS
LA RIOJA,chilecito,FRUTICULTURA/HORTICULTURA,BATATA,MAELCA SA,LOS CERRILLOS
LA RIOJA,chilecito,FRUTICULTURA,VID,OLIVARES S.A.,OLIVARES S.A.
LA RIOJA,chilecito,FRUTICULTURA,OLIVOS,OLIVARES S.A.,OLIVARES S.A.
LA RIOJA,arauco,FRUTICULTURA,OLIVOS,OLIVOS ARGENTINOS SA,LA AGUADA
LA RIOJA,arauco,FRUTICULTURA,OLIVOS,OLIVOS ARGENTINOS SA,SANTA FE
LA RIOJA,chilecito,FRUTICULTURA,VID,ORO NEGRO S.A.,ORO NEGRO
LA RIOJA,chilecito,FRUTICULTURA,OLIVOS,ORO NEGRO S.A.,ORO NEGRO
LA RIOJA,chilecito,FRUTICULTURA,VID,"SUELDO GIORGI, LAURA",FINCA MACHIA
LA RIOJA,arauco,AGRICULTURA,JOJOBA,TALAMUYUNA S.A.,TALAMUYUNA
LA RIOJA,chilecito,FRUTICULTURA,VID,"TROYANO, RUFINO",PARCELA Nº8
MENDOZA,san carlos,FRUTICULTURA/HORTICULTURA,ESPARRAGOS,AGROLOSANDES S.A.,AGROLOSANDES
MENDOZA,san carlos,FRUTICULTURA/HORTICULTURA,AJO,AGROLOSANDES S.A.,AGROLOSANDES
MENDOZA,san carlos,FRUTICULTURA/HORTICULTURA,ABONO VERDE,AGROLOSANDES S.A.,AGROLOSANDES
MENDOZA,maipu,FRUTICULTURA/HORTICULTURA,VID,AGROROSAL S.A.,FINCA LA LUCERA
MENDOZA,san carlos,FRUTICULTURA/HORTICULTURA,DESCANSO,AGROSAVER S.A.,FINCA LA AGUANDA
MENDOZA,lujan de cuyo,FRUTICULTURA,UVAS,ALTOS LAS HORMIGAS SAVYC,ALTOS LAS HORMIGAS FINCA
MENDOZA,san carlos,FRUTICULTURA/HORTICULTURA,MANZANA,ARGENTBIO S.R.L.,FINCA EL OLMO
MENDOZA,san carlos,FRUTICULTURA/HORTICULTURA,ZAPALLO,ARGENTBIO S.R.L.,FINCA EL OLMO
MENDOZA,san carlos,FRUTICULTURA/HORTICULTURA,ZANAHORIA,ARGENTBIO S.R.L.,FINCA EL OLMO
MENDOZA,san carlos,FRUTICULTURA/HORTICULTURA,CEBOLLA,ARGENTBIO S.R.L.,FINCA EL OLMO
MENDOZA,san carlos,FRUTICULTURA/HORTICULTURA,ECHALOTTE,ARGENTBIO S.R.L.,FINCA EL OLMO
MENDOZA,san carlos,FRUTICULTURA/HORTICULTURA,INCULTO,ARGENTBIO S.R.L.,FINCA EL OLMO
MENDOZA,san carlos,FRUTICULTURA/HORTICULTURA,ZAPALLO ANCO,ARGENTBIO S.R.L.,FINCA EL OLMO
MENDOZA,san carlos,FRUTICULTURA/HORTICULTURA,AJO,ARGENTBIO S.R.L.,FINCA EL OLMO
MENDOZA,san carlos,FRUTICULTURA/HORTICULTURA,DESCANSO,ARGENTBIO S.R.L.,FINCA EL OLMO
MENDOZA,san carlos,FRUTICULTURA/HORTICULTURA,BROCOLI,ARGENTBIO S.R.L.,FINCA EL OLMO
MENDOZA,san carlos,FRUTICULTURA/HORTICULTURA,CAMPO NATURAL,ARGENTBIO S.R.L.,FINCA EL OLMO
MENDOZA,lujan de cuyo,FRUTICULTURA,VID,ARTEL INC,EL LUCAS
MENDOZA,lujan de cuyo,FRUTICULTURA,VID,ARTEL INC,EL TINCHO
MENDOZA,lujan de cuyo,FRUTICULTURA/HORTICULTURA,VID,ASOC. COOP. EEA INTA MENDOZA,ASOCIACION COOPERADORA DE EEA MENDOZA INTA
MENDOZA,lujan de cuyo,FRUTICULTURA/HORTICULTURA,INCULTO,ASOC. COOP. EEA INTA MENDOZA,ASOCIACION COOPERADORA DE EEA MENDOZA INTA
MENDOZA,lujan de cuyo,FRUTICULTURA/HORTICULTURA,ALFALFA,ASOC. COOP. EEA INTA MENDOZA,ASOCIACION COOPERADORA DE EEA MENDOZA INTA
MENDOZA,junin,FRUTICULTURA,UVAS,AVE MARIA FIDEICOMISO,FINCA AVE MARIA AG
MENDOZA,junin,FRUTICULTURA,UVAS,AVE MARIA FIDEICOMISO,FINCA AVE MARIA B
MENDOZA,guyamallen,FRUTICULTURA/HORTICULTURA,DESCANSO,BAMENEX S.A.,FINCA DON JOAQUIN
MENDOZA,guyamallen,FRUTICULTURA/HORTICULTURA,ZAPALLO,BAMENEX S.A.,FINCA DON JOAQUIN
MENDOZA,guyamallen,FRUTICULTURA/HORTICULTURA,AJO,BAMENEX S.A.,FINCA DON JOAQUIN
MENDOZA,guyamallen,FRUTICULTURA/HORTICULTURA,INCULTO,BAMENEX S.A.,FINCA DON JOAQUIN
MENDOZA,lujan de cuyo,FRUTICULTURA/HORTICULTURA,DESCANSO,BAMENEX S.A.,FINCA EL CARRIZAL
